"Indicateur","Description"
"Prev_conso","Proportion de ménages consommateurs (%)"
"Part_budget","Part du produit dans la dépense alimentaire totale (%)"
"Contrib_cal","Contribution calorique du produit (%)"
"Prev_prod","Proportion de ménages producteurs (%)"
"Superficie_ha","Superficie totale cultivée (ha)"
"Production_tonnes","Production totale estimée (tonnes)"
"Rendement_kg_ha","Rendement moyen winsorisé (kg/ha)"
"Valeur_ventes","Valeur totale des ventes (FCFA)"
"Tx_commercialisation","Taux de commercialisation (%)"
"Prix_FCFA_kg","Prix implicite au producteur (FCFA/kg)"
"Prod_FAO_tonnes","Production nationale FAO (tonnes)"
"Balance_com_tonnes","Balance commerciale FAO (tonnes)"
"fies_moyen","Score FIES moyen (0-8)"
"hdds_moyen","Score HDDS moyen (0-12)"
"fies_modere_pct","Insécurité alimentaire modérée (%)"
"fies_severe_pct","Insécurité alimentaire sévère (%)"
"hhsize_moy","Taille moyenne du ménage"
"pcexp_med","Dépense médiane par tête (FCFA)"
"pauvre_pct","Proportion de ménages pauvres (%)"
"age_chef_moy","Âge moyen du chef de ménage"
"sexe_chef_homme_pct","Proportion de chefs masculins (%)"
"educ_chef_pct","Proportion de chefs avec éducation (%)"
"superf_moy","Superficie agricole moyenne (ha)"
"bovins_moy","Nombre moyen de bovins"
"ovins_moy","Nombre moyen d'ovins/caprins"
"volailles_moy","Nombre moyen de volailles"
"equip_moy","Nombre moyen d'équipements agricoles"
"intrants_moy","Valeur moyenne des intrants (FCFA)"
"credit_pct","Accès au crédit (%)"
"coop_pct","Accès à une coopérative (%)"
"chocs_moy","Nombre moyen de chocs subis"
"taux_autoconso_moy","Taux d'autoconsommation (%)"
"taux_com_moy","Taux de commercialisation (%)"
"part_budget_moy","Part budgétaire du mil (%)"
"pluie_2021","Pluviométrie annuelle 2021 (mm)"
"pluie_saison_2021","Pluviométrie saisonnière 2021 (mm)"
"temp_moy","Température moyenne (°C)"
